replicas: 1

	req10:
		5848026
		5773418
		5532598
		5385394
		5387077
		5505288
		5502362
		5678911
		5138043
		
		media: 5.5ms

	
	req10slow1:
		13085314
		13162488
		13219495
		13475813
		16090389
		12916720
		13035321
		21055569
		22348921
		
		media: 15.3ms

		
	req10slow2:
		5469611
		20551550
		5323789
		12092363
		5504496
		12063509
		5218332
		27161767
		5356901
		
		media: 11ms

	
	req50:
		5479209
		5476955
		5383421
		5391095
		5435517
		5431970
		5238369
		5257285
		5276611
		5193156
		5221157
		5455385
		5134185
		5059917
		4946686
		5310204
		5146779
		4991980
		5027556
		4845457
		5059156
		5126361
		4967064
		5116863
		5172567
		5032896
		4854013
		5030763
		4897143
		11727332
		4948248
		4967625
		4805312
		4946335
		4781398
		4867268
		5034148
		4898085
		4938380
		4861467
		5053355
		4750029
		4694195
		4668237
		4975720
		4896002
		4893998
		5016636
		5170413
		
		media 5.1ms





replicas: 4

	req10:
		5953053
		6200554
		5859859
		6547351
		6665602
		5967830
		5613270
		5977148
		6131326
		
		media: 6.1ms


	req10slow1:
		5789057
		19439777
		12770448
		26512949
		12722489
		12657868
		12537584
		5673392
		27013713
		
		media 15ms


	req10slow2:
		6263702
		13328188
		6590041
		18735334
		5840203
		21517512
		6257470
		18501417
		5926543
		
		media: 11.4ms


	req50:
		5699340
		5630361
		5847516
		5633637
		5913279
		9409560
		6402040
		5964034
		5552145
		5748842
		5571281
		5685304
		5279777
		5465003
		5387308
		5708227
		5433014
		5017789
		5258377
		5747740
		6194643
		5567093
		5342294
		5099732
		5276651
		5637134
		5337906
		5383331
		8734611
		5244290
		5264279
		5430939
		5124668
		5051241
		5061290
		4940675
		5181394
		5168831
		5598531
		4985729
		5174190
		5236186
		5067482
		5100873
		4921960
		5094331
		4950894
		4820681
		8071514
		
		media: 5.4ms





replicas: 20

	req10:
		8754027
		10179967
		9156047
		10097793
		7533481
		8048311
		13170875
		8561087
		11101987
		
		media: 9.6ms


	req10slow1:
		16594410
		31642646
		10633282
		17762760
		34670975
		16759879
		20611402
		7286811
		17706193
		
		media: 15.3ms


	req10slow2:
		9837788
		23186374
		8628903
		17174853
		9822650
		17900145
		11915794
		25688832
		10333292
		
		media: 15.2ms
	
	
	req50:
		9447400
		10894590
		8252111
		7882922
		8783602
		8907844
		12085130
		8124984
		10294039
		10494343
		9138003
		8019707
		6998623
		9501370
		7499958
		8199593
		15229113
		9226188
		8449399
		12889029
		12460039
		7586600
		9103209
		8067196
		7522791
		10373888
		9410611
		7905104
		8349613
		7564949
		8431054
		7261493
		10061245
		8537412
		5853207
		11586039
		7513954
		10062427
		9256054
		6413312
		6718732
		7085145
		6547342
		6586875
		9861543
		7950568
		7084483
		10513689
		6886324
		
		media: 9.7ms





replicas: 50

	req10:
		16183378
		14496552
		18333148
		17472683
		22607592
		22233104
		31455487
		13141955
		14585128
		
		media: 19ms
		
	
	req10slow1:
		17521084
		23924238
		28938673
		33328741
		26856989
		12040420
		45774517
		26527785
		32554297
		
		media: 27ms

	
	req10slow2:
		16009665
		24523736
		17784415
		28313746
		18846556
		25244761
		31966230
		25158361
		12992967
		
		media: 22ms
	
	
	req50:
		16001410
		19252123
		16090766
		11469365
		19233709
		16534924
		33713299
		15325168
		17238687
		10960816
		15788251
		17581687
		14078141
		16428195
		17204062
		18134157
		18890719
		15705717
		17145883
		22800011
		11592344
		15312144
		14752069
		14476705
		13737546
		15181901
		17568973
		19199104
		14151739
		10413836
		10978159
		11924904
		12282652
		17533417
		14170363
		11107459
		13086141
		15247953
		24691249
		12209415
		16719658
		22231350
		12136629
		11294629
		17170319
		16733515
		16021386
		13284742
		15158156
		
		media: 17


